Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70380252014187EDC00,BUMPER,EDC,DAY, 038, 025,2014/07/06,2014:187:18:02:42.8554375,2014:187:18:03:09.6093750, 9, 9,  77.44,  98.62,  99.06,  52.43,  59.67,58.70352936,145.10572815,50°16'31.55"N,108°18'43.38"W,51°15'17.53"N,109°18'34.81"W,50°51'51.16"N,106°38'26.74"W,49°39'55.94"N,109°56'35.84"W,49°17'15.58"N,107°21'29.70"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-13.389742,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28251   (51°16'57.04"N),-110.01781  (110°01'04.12"W), 51.20111   (51°12'04.00"N),-106.52760  (106°31'39.36"W), 49.33748   (49°20'14.93"N),-110.05708   (110°03'25.49"W), 49.26146   (49°15'41.26"N),-106.70577   (106°42'20.77"W),14421,16261,7211,8131,7211,8131,,,10,4.702,2.566,3.94,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27543,-108.31205,51.25487,-109.30967,50.86421,-106.64076,49.66554,-109.94329,49.28766,-107.35825,LE70380252014187EDC00,LE70380252014187EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014187EDC00
LE70370252014180EDC00,BUMPER,EDC,DAY, 037, 025,2014/06/29,2014:180:17:56:30.1165000,2014:180:17:56:56.8703750, 9, 9,  93.69,  82.38,  96.25,  97.51,  98.63,59.33280563,145.18035889,50°16'31.33"N,106°45'59.62"W,51°15'21.10"N,107°45'46.04"W,50°51'54.50"N,105°05'38.87"W,49°39'59.72"N,108°23'47.33"W,49°17'19.61"N,105°48'41.80"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-8.520272,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25751   (51°15'27.04"N),-108.62331  (108°37'23.92"W), 51.31361   (51°18'49.00"N),-105.01148  (105°00'41.33"W), 49.23512   (49°14'06.43"N),-108.47295   (108°28'22.62"W), 49.28735   (49°17'14.46"N),-105.01100   (105°00'39.60"W),15021,16801,7511,8401,7511,8401,,,12,7.042,4.751,5.198,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27537,-106.76656,51.25586,-107.76279,50.86514,-105.09413,49.66659,-108.39648,49.28878,-105.81161,LE70370252014180EDC00,LE70370252014180EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014180EDC00
LE70380252014171EDC00,BUMPER,EDC,DAY, 038, 025,2014/06/20,2014:171:18:02:36.6774375,2014:171:18:03:03.4313750, 9, 9,  60.28,  69.26,  89.11,  20.70,  62.05,59.71561813,145.76216125,50°16'30.97"N,108°18'11.81"W,51°15'14.90"N,109°17'59.35"W,50°51'48.67"N,106°37'54.01"W,49°39'53.93"N,109°56'01.50"W,49°17'13.92"N,107°20'57.84"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-10.341786,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28510   (51°17'06.36"N),-110.00485  (110°00'17.46"W), 51.20347   (51°12'12.49"N),-106.51877  (106°31'07.57"W), 49.34007   (49°20'24.25"N),-110.04464   (110°02'40.70"W), 49.26385   (49°15'49.86"N),-106.69732   (106°41'50.35"W),14421,16241,7211,8121,7211,8121,,,22,5.937,2.742,5.266,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27527,-108.30328,51.25414,-109.29982,50.86352,-106.63167,49.66498,-109.93375,49.2872,-107.3494,LE70380252014171EDC00,LE70380252014171EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014171EDC00
LE70380252014155EDC00,BUMPER,EDC,DAY, 038, 025,2014/06/04,2014:155:18:02:35.6481875,2014:155:18:03:02.4021250, 9, 9,  48.10,  39.40,  49.68,  63.60,  39.70,59.11315918,147.79077148,50°16'31.15"N,108°19'01.27"W,51°15'13.39"N,109°18'49.68"W,50°51'47.56"N,106°38'46.07"W,49°39'51.48"N,109°56'51.68"W,49°17'11.62"N,107°21'49.97"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-2.768795,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28517   (51°17'06.61"N),-110.01345  (110°00'48.42"W), 51.20363   (51°12'13.07"N),-106.52305  (106°31'22.98"W), 49.33205   (49°19'55.38"N),-110.05305   (110°03'10.98"W), 49.25593   (49°15'21.35"N),-106.70213   (106°42'07.67"W),14481,16261,7241,8131,7241,8131,,,11,5.095,3.043,4.086,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27532,-108.31702,51.25372,-109.3138,50.86321,-106.64613,49.6643,-109.94769,49.28656,-107.36388,LE70380252014155EDC00,LE70380252014155EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014155EDC00
LE70370252014148EDC00,BUMPER,EDC,DAY, 037, 025,2014/05/28,2014:148:17:56:23.1251250,2014:148:17:56:49.8789999, 9, 9,  22.99,  44.53,  28.63,   5.30,  13.50,58.31283951,148.88134766,50°16'31.98"N,106°46'15.71"W,51°15'12.56"N,107°46'04.26"W,50°51'46.15"N,105°06'00.18"W,49°39'52.85"N,108°24'06.41"W,49°17'12.91"N,105°49'03.97"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,-.696709,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25764   (51°15'27.50"N),-108.61902  (108°37'08.47"W), 51.31361   (51°18'49.00"N),-105.00717  (105°00'25.81"W), 49.22717   (49°13'37.81"N),-108.46827   (108°28'05.77"W), 49.27925   (49°16'45.30"N),-105.00687   (105°00'24.73"W),15081,16801,7541,8401,7541,8401,,,21,6.061,2.5,5.521,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27555,-106.77103,51.25349,-107.76785,50.86282,-105.10005,49.66468,-108.40178,49.28692,-105.81777,LE70370252014148EDC00,LE70370252014148EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014148EDC00
LE70380252014107EDC01,BUMPER,EDC,DAY, 038, 025,2014/04/17,2014:107:18:02:18.2398124,2014:107:18:02:44.9937499, 9, 9,  81.38,  74.01,  85.49,  67.30,  98.72,47.80295944,153.7903595,50°16'28.16"N,108°18'23.29"W,51°15'17.32"N,109°18'13.00"W,50°51'49.75"N,106°38'02.51"W,49°39'56.34"N,109°56'15.68"W,49°17'14.64"N,107°21'07.34"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-9.591825,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28244   (51°16'56.78"N),-110.00920  (110°00'33.12"W), 51.20078   (51°12'02.81"N),-106.51904  (106°31'08.54"W), 49.34011   (49°20'24.40"N),-110.04877   (110°02'55.57"W), 49.26385   (49°15'49.86"N),-106.69732   (106°41'50.35"W),14401,16261,7201,8131,7201,8131,,,25,7.622,4.466,6.176,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27449,-108.30647,51.25481,-109.30361,50.86382,-106.63403,49.66565,-109.93769,49.2874,-107.35204,LE70380252014107EDC01,LE70380252014107EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014107EDC01
LE70370252014100EDC00,BUMPER,EDC,DAY, 037, 025,2014/04/10,2014:100:17:56:01.2042499,2014:100:17:56:27.9581249, 9, 9,  43.46,  54.33,  38.86,  50.96,  29.67,45.26039505,154.22744751,50°16'28.27"N,106°44'42.29"W,51°15'04.75"N,107°44'35.66"W,50°51'37.04"N,105°04'25.64"W,49°39'44.50"N,108°22'40.44"W,49°17'02.87"N,105°47'32.35"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-13.565096,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25279   (51°15'10.04"N),-108.60144  (108°36'05.18"W), 51.30821   (51°18'29.56"N),-104.99426  (104°59'39.34"W), 49.23035   (49°13'49.26"N),-108.45201   (108°27'07.24"W), 49.28195   (49°16'55.02"N),-104.99450   (104°59'40.20"W),15021,16781,7511,8391,7511,8391,,,30,5.242,3.096,4.23,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27452,-106.74508,51.25132,-107.74324,50.86029,-105.07379,49.66236,-108.3779,49.28413,-105.79232,LE70370252014100EDC00,LE70370252014100EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014100EDC00
LE70380252014091EDC00,BUMPER,EDC,DAY, 038, 025,2014/04/01,2014:091:18:02:10.2011250,2014:091:18:02:36.9550625, 9, 9,  71.81,  84.40,  70.31,  41.83,  90.70,41.81544113,154.6754303,50°16'28.49"N,108°17'55.72"W,51°15'09.40"N,109°17'45.06"W,50°51'41.87"N,106°37'35.69"W,49°39'48.85"N,109°55'48.18"W,49°17'07.19"N,107°20'40.81"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-12.942117,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27970   (51°16'46.92"N),-110.00496  (110°00'17.86"W), 51.19792   (51°11'52.51"N),-106.51502  (106°30'54.07"W), 49.33737   (49°20'14.53"N),-110.04469   (110°02'40.88"W), 49.26100   (49°15'39.60"N),-106.69344   (106°41'36.38"W),14401,16261,7201,8131,7201,8131,,,43,6.143,3.53,5.027,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27458,-108.29881,51.25261,-109.29585,50.86163,-106.62658,49.66357,-109.93005,49.28533,-107.34467,LE70380252014091EDC00,LE70380252014091EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014091EDC00
LE70370252014084EDC01,BUMPER,EDC,DAY, 037, 025,2014/03/25,2014:084:17:55:55.5334374,2014:084:17:56:22.2873749, 9, 9,  86.97,  93.85,  97.35,  82.11,  74.56,39.04460144,154.97981262,50°16'26.40"N,106°44'54.35"W,51°15'09.94"N,107°44'44.02"W,50°51'41.98"N,105°04'35.58"W,49°39'49.14"N,108°22'50.88"W,49°17'07.51"N,105°47'44.23"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-10.776255,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25548   (51°15'19.73"N),-108.60165  (108°36'05.94"W), 51.31091   (51°18'39.28"N),-104.99426  (104°59'39.34"W), 49.23305   (49°13'58.98"N),-108.45220   (108°27'07.92"W), 49.28465   (49°17'04.74"N),-104.99450   (104°59'40.20"W),15021,16781,7511,8391,7511,8391,,,36,6.82,3.796,5.666,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.274,-106.74843,51.25276,-107.74556,50.86166,-105.07655,49.66365,-108.3808,49.28542,-105.79562,LE70370252014084EDC01,LE70370252014084EDC01,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014084EDC01
LE70380252014075EDC00,BUMPER,EDC,DAY, 038, 025,2014/03/16,2014:075:18:02:04.0766249,2014:075:18:02:30.8305624, 9, 9,  15.25,  35.43,  13.85,   4.79,   6.94,35.44014359,155.35687256,50°16'25.39"N,108°18'07.20"W,51°15'12.28"N,109°17'52.94"W,50°51'44.06"N,106°37'44.47"W,49°39'50.58"N,109°55'59.12"W,49°17'08.77"N,107°20'52.51"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-13.616321,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28240   (51°16'56.64"N),-110.00490  (110°00'17.64"W), 51.20061   (51°12'02.20"N),-106.51475  (106°30'53.10"W), 49.33737   (49°20'14.53"N),-110.04469   (110°02'40.88"W), 49.26100   (49°15'39.60"N),-106.69344   (106°41'36.38"W),14421,16261,7211,8131,7211,8131,,,66,6.234,3.953,4.82,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27372,-108.302,51.25341,-109.29804,50.86224,-106.62902,49.66405,-109.93309,49.28577,-107.34792,LE70380252014075EDC00,LE70380252014075EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014075EDC00
LE70380252014059EDC00,BUMPER,EDC,DAY, 038, 025,2014/02/28,2014:059:18:01:55.1911875,2014:059:18:02:21.9450625, 9, 9,  72.16,  63.84,  49.66,  88.86,  86.30,29.16529083,156.16247559,50°16'24.49"N,108°17'46.03"W,51°15'09.14"N,109°17'33.14"W,50°51'40.75"N,106°37'26.26"W,49°39'48.74"N,109°55'40.40"W,49°17'06.36"N,107°20'35.34"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,3.799095,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28499   (51°17'05.96"N),-109.99194  (109°59'30.98"W), 51.20281   (51°12'10.12"N),-106.50165  (106°30'05.94"W), 49.33187   (49°19'54.73"N),-110.03241   (110°01'56.68"W), 49.25516   (49°15'18.58"N),-106.68157   (106°40'53.65"W),14481,16261,7241,8131,7241,8131,,,18,5.649,3.266,4.609,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27347,-108.29612,51.25254,-109.29254,50.86132,-106.62396,49.66354,-109.92789,49.2851,-107.34315,LE70380252014059EDC00,LE70380252014059EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014059EDC00
LE70370252014052EDC00,BUMPER,EDC,DAY, 037, 025,2014/02/21,2014:052:17:55:42.9830000,2014:052:17:56:09.7368750, 9, 9,  98.34,  98.62,  95.77,  99.08,  99.88,26.57835579,156.61352539,50°16'23.41"N,106°45'47.52"W,51°15'16.13"N,107°45'30.74"W,50°51'47.81"N,105°05'24.50"W,49°39'54.54"N,108°23'37.46"W,49°17'12.30"N,105°48'33.05"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,4.123046,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25791   (51°15'28.48"N),-108.61044  (108°36'37.58"W), 51.31361   (51°18'49.00"N),-104.99857  (104°59'54.85"W), 49.22741   (49°13'38.68"N),-108.46005   (108°27'36.18"W), 49.27926   (49°16'45.34"N),-104.99863   (104°59'55.07"W),15081,16801,7541,8401,7541,8401,,,12,12.439,7.636,9.82,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27317,-106.7632,51.25448,-107.75854,50.86328,-105.09014,49.66515,-108.39374,49.28675,-105.80918,LE70370252014052EDC00,LE70370252014052EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014052EDC00
LE70380252014027EDC00,BUMPER,EDC,DAY, 038, 025,2014/01/27,2014:027:18:02:00.2896250,2014:027:18:02:27.0434999, 9, 9,  35.68,  12.68,  21.97,  45.82,  62.26,18.91743279,158.89486694,50°16'34.50"N,108°24'09.86"W,51°15'17.86"N,109°23'57.80"W,50°51'52.70"N,106°43'52.82"W,49°39'55.66"N,110°02'01.82"W,49°17'16.55"N,107°26'58.74"W,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,5.994232,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28327   (51°16'59.77"N),-110.11243  (110°06'44.75"W), 51.20451   (51°12'16.24"N),-106.61750  (106°37'03.00"W), 49.33818   (49°20'17.45"N),-110.14792   (110°08'52.51"W), 49.26465   (49°15'52.74"N),-106.79212   (106°47'31.63"W),14421,16281,7211,8141,7211,8141,,,34,6.238,3.438,5.205,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27625,-108.40274,51.25496,-109.39939,50.86464,-106.73134,49.66546,-110.03384,49.28793,-107.44965,LE70380252014027EDC00,LE70380252014027EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252014027EDC00
LE70370252014020EDC00,BUMPER,EDC,DAY, 037, 025,2014/01/20,2014:020:17:55:42.1557500,2014:020:17:56:08.9096250, 9, 9,  11.21,   6.67,  14.50,   9.76,  13.89,17.37853622,159.72174072,50°16'33.92"N,106°49'51.78"W,51°15'14.51"N,107°49'41.30"W,50°51'49.10"N,105°09'35.64"W,49°39'52.38"N,108°27'44.39"W,49°17'13.13"N,105°52'40.69"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-.392032,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25846   (51°15'30.46"N),-108.67930  (108°40'45.48"W), 51.31628   (51°18'58.61"N),-105.07174  (105°04'18.26"W), 49.22811   (49°13'41.20"N),-108.52604   (108°31'33.74"W), 49.28193   (49°16'54.95"N),-105.06875   (105°04'07.50"W),15081,16781,7541,8391,7541,8391,,,36,14.886,12.335,8.333,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27609,-106.83105,51.25403,-107.82814,50.86364,-105.1599,49.66455,-108.46233,49.28698,-105.87797,LE70370252014020EDC00,LE70370252014020EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014020EDC00
LE70370252014004EDC00,BUMPER,EDC,DAY, 037, 025,2014/01/04,2014:004:17:55:27.3333749,2014:004:17:55:54.0872499, 9, 9,  88.69,  93.40,  85.21,  96.43,  79.74,15.11425591,161.75386047,50°16'32.30"N,106°46'34.68"W,51°15'23.47"N,107°46'21.14"W,50°51'57.38"N,105°06'13.46"W,49°40'02.60"N,108°24'18.61"W,49°17'22.52"N,105°49'13.08"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,5.832281,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.26034   (51°15'37.22"N),-108.61923  (108°37'09.23"W), 51.31630   (51°18'58.68"N),-105.01148  (105°00'41.33"W), 49.22986   (49°13'47.50"N),-108.46846   (108°28'06.46"W), 49.28195   (49°16'55.02"N),-105.01100   (105°00'39.60"W),15081,16781,7541,8391,7541,8391,,,18,10.81,9.438,5.271,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27564,-106.7763,51.25652,-107.77254,50.86594,-105.10374,49.66739,-108.40517,49.28959,-105.8203,LE70370252014004EDC00,LE70370252014004EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252014004EDC00
LE70370252013353EDC00,BUMPER,EDC,DAY, 037, 025,2013/12/19,2013:353:17:55:21.0381875,2013:353:17:55:47.7921874, 9, 9,  41.46,  44.58,  55.16,  31.87,  34.22,14.7417717,163.70002747,50°16'30.43"N,106°45'37.33"W,51°15'19.26"N,107°45'28.33"W,50°51'51.98"N,105°05'15.90"W,49°40'00.30"N,108°23'29.04"W,49°17'18.67"N,105°48'18.86"W,N,L,L,L,H,H,L,H,L,L,Y,NOMINAL,DE,9.914032,LH,LH,LH,HH,HH,LL,HH,LH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25804   (51°15'28.94"N),-108.60615  (108°36'22.14"W), 51.31361   (51°18'49.00"N),-104.99857  (104°59'54.85"W), 49.23023   (49°13'48.83"N),-108.45612   (108°27'22.03"W), 49.28195   (49°16'55.02"N),-104.99863   (104°59'55.07"W),15061,16781,7531,8391,7531,8391,,,30,12.046,10.961,4.996,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27512,-106.76037,51.25535,-107.75787,50.86444,-105.08775,49.66675,-108.3914,49.28852,-105.80524,LE70370252013353EDC00,LE70370252013353EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252013353EDC00
LE70380252013328EDC00,BUMPER,EDC,DAY, 038, 025,2013/11/24,2013:328:18:01:25.8888125,2013:328:18:01:52.6426875, 9, 9,   6.05,   0.13,   0.13,  11.23,  12.72,17.86810684,165.63233948,50°16'27.84"N,108°18'32.83"W,51°15'17.10"N,109°18'24.66"W,50°51'48.92"N,106°38'10.21"W,49°39'57.24"N,109°56'23.14"W,49°17'15.32"N,107°21'10.62"W,N,L,L,L,H,H,L,H,H,L,Y,NOMINAL,DE,4.915249,LL,LL,LL,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.28510   (51°17'06.36"N),-110.00485  (110°00'17.46"W), 51.20330   (51°12'11.88"N),-106.51449  (106°30'52.16"W), 49.33468   (49°20'04.85"N),-110.04474   (110°02'41.06"W), 49.25831   (49°15'29.92"N),-106.69367   (106°41'37.21"W),14461,16261,7231,8131,7231,8131,,,56,10.87,8.87,6.283,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.2744,-108.30912,51.25475,-109.30685,50.86359,-106.63617,49.6659,-109.93976,49.28759,-107.35295,LE70380252013328EDC00,LE70380252013328EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252013328EDC00
LE70370252013305EDC00,BUMPER,EDC,DAY, 037, 025,2013/11/01,2013:305:17:55:05.3095624,2013:305:17:55:32.0634374, 9, 9,  17.56,   7.43,  47.76,   1.99,  13.07,23.94225883,165.33145142,50°16'25.79"N,106°45'15.95"W,51°15'14.22"N,107°45'02.81"W,50°51'46.04"N,105°04'53.22"W,49°39'52.78"N,108°23'08.52"W,49°17'10.79"N,105°48'00.76"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,6.744224,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.25817   (51°15'29.41"N),-108.60186  (108°36'06.70"W), 51.31361   (51°18'49.00"N),-104.98996  (104°59'23.86"W), 49.22766   (49°13'39.58"N),-108.45182   (108°27'06.55"W), 49.27925   (49°16'45.30"N),-104.99038   (104°59'25.37"W),15081,16801,7541,8401,7541,8401,,,29,5.309,4.296,3.12,UTM,WGS84,WGS84,13,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27383,-106.75443,51.25395,-107.75078,50.86279,-105.08145,49.66466,-108.3857,49.28633,-105.80021,LE70370252013305EDC00,LE70370252013305EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70370252013305EDC00
LE70380252013280EDC00,BUMPER,EDC,DAY, 038, 025,2013/10/07,2013:280:18:01:06.3797500,2013:280:18:01:33.1336874, 9, 9,  42.32,  59.96,  28.84,  37.87,  42.60,32.4929924,162.34062195,50°16'25.03"N,108°18'16.92"W,51°15'03.20"N,109°18'05.00"W,50°51'35.64"N,106°38'01.21"W,49°39'41.44"N,109°56'10.79"W,49°16'59.70"N,107°21'08.86"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,8.405173,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27974   (51°16'47.06"N),-110.00926  (110°00'33.34"W), 51.19825   (51°11'53.70"N),-106.52358  (106°31'24.89"W), 49.33471   (49°20'04.96"N),-110.04887   (110°02'55.93"W), 49.25862   (49°15'31.03"N),-106.70190   (106°42'06.84"W),14421,16241,7211,8121,7211,8121,,,45,5.45,3.097,4.485,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27362,-108.3047,51.25089,-109.30139,50.8599,-106.63367,49.66151,-109.93633,49.28325,-107.35246,LE70380252013280EDC00,LE70380252013280EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252013280EDC00
LE70380252013264EDC00,BUMPER,EDC,DAY, 038, 025,2013/09/21,2013:264:18:00:53.6996874,2013:264:18:01:20.4536249, 9, 9,  27.06,  19.80,  31.38,  16.78,  40.27,38.27773285,159.14598083,50°16'23.99"N,108°17'06.54"W,51°15'08.24"N,109°16'51.74"W,50°51'40.32"N,106°36'48.28"W,49°39'47.38"N,109°54'56.38"W,49°17'05.57"N,107°19'54.77"W,N,L,L,L,L,L,L,H,L,L,Y,NOMINAL,DE,-6.960591,LL,LL,LL,LL,LL,LL,HH,LL,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 51.27956   (51°16'46.42"N),-109.98776  (109°59'15.94"W), 51.19743   (51°11'50.75"N),-106.50217  (106°30'07.81"W), 49.33724   (49°20'14.06"N),-110.02818   (110°01'41.45"W), 49.26054   (49°15'37.94"N),-106.68110   (106°40'51.96"W),14401,16241,7201,8121,7201,8121,,,81,5.893,3.887,4.429,UTM,WGS84,WGS84,12,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,50.27333,-108.28515,51.25229,-109.28104,50.8612,-106.61341,49.66316,-109.91566,49.28488,-107.33188,LE70380252013264EDC00,LE70380252013264EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70380252013264EDC00
