Landsat Scene Identifier,Sensor Mode,Station Identifier,Day/Night,WRS Path,WRS Row,Date Acquired,Start Time,Stop Time,Image Quality VCID 1,Image Quality VCID 2,Cloud Cover,Cloud Cover Quad Upper Left,Cloud Cover Quad Upper Right,Cloud Cover Quad Lower Left,Cloud Cover Quad Lower Right,Sun Elevation,Sun Azimuth,Scene Center Latitude,Scene Center Longitude,Corner Upper Left Latitude,Corner Upper Left Longitude,Corner Upper Right Latitude,Corner Upper Right Longitude,Corner Lower Left Latitude,Corner Lower Left Longitude,Corner Lower Right Latitude,Corner Lower Right Longitude,Full Aperture Calibration,Gain Band 1,Gain Band 2,Gain Band 3,Gain Band 4,Gain Band 5,Gain Band 6 VCID 1,Gain Band 6 VCID 2,Gain Band 7,Gain Band 8,Browse Exists,Data Category,Gap Phase Source,Gap Phase Statistic,Gain Change Band 1,Gain Change Band 2,Gain Change Band 3,Gain Change Band 4,Gain Change Band 5,Gain Change Band 6 VCID 1,Gain Change Band 6 VCID 2,Gain Change Band 7,Gain Change Band 8,Data Type Level 1,Elevation Source,Output Format,Ephemeris Type,Corner UL Latitude Product,Corner UL Longitude Product,Corner UR Latitude Product,Corner UR Longitude Product,Corner LL Latitude Product,Corner LL Longitude Product,Corner LR Latitude Product,Corner LR Longitude Product,Panchromatic Lines,Panchromatic Samples,Reflective Lines,Reflective Samples,Thermal Lines,Thermal Samples,Date Acquired Gap Fill,Gap Fill,Ground Control Points Model,Geometric RMSE Model,Geometric RMSE Model X,Geometric RMSE Model Y,Map Projection L1,Datum,Ellipsoid,UTM Zone,Vertical Longitude from Pole,True Scale Latitude,False Easting,False Northing,Grid Cell Size Panchromatic,Grid Cell Size Reflective,Grid Cell Size Thermal,Orientation,Resampling Option,Scan Gap Interpolation,Scene Center Latitude dec,Scene Center Longitude dec,Corner Upper Left Lat dec,Corner Upper Left Long dec,Corner Upper Right Lat dec,Corner Upper Right Long dec,Corner Lower Left Lat dec,Corner Lower Left Long dec,Corner Lower Right Lat dec,Corner Lower Right Long dec,Display ID,Ordering ID,Download Link
LE70210272012143EDC00,BUMPER,EDC,DAY, 021, 027,2012/05/22,2012:143:16:15:33.3671875,2012:143:16:16:00.1211249, 9, 9,   0.88,   2.95,   0.42,   0.15,   0.00,59.19776154,144.37364197,47°26'25.40"N,83°19'10.78"W,48°24'49.25"N,84°16'22.66"W,48°02'39.23"N,81°44'58.88"W,46°49'11.03"N,84°51'12.89"W,46°27'40.75"N,82°24'10.66"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,12.615081,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41367   (48°24'49.21"N), -85.07353  (85°04'24.71"W), 48.48379   (48°29'01.64"N), -81.68475  (81°41'05.10"W), 46.39941   (46°23'57.88"N), -84.92089   (84°55'15.20"W), 46.46477   (46°27'53.17"N), -81.65901   (81°39'32.44"W),14961,16721,7481,8361,7481,8361,,,191,4.58,3.005,3.456,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44039,-83.31966,48.41368,-84.27296,48.04423,-81.74969,46.81973,-84.85358,46.46132,-82.40296,LE70210272012143EDC00,LE70210272012143EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272012143EDC00
LE70220272012134EDC00,BUMPER,EDC,DAY, 022, 027,2012/05/13,2012:134:16:21:49.3636875,2012:134:16:22:16.1176249, 9, 9,   0.72,   2.80,   0.04,   0.00,   0.04,57.42135239,145.95466614,47°26'46.07"N,84°57'00.72"W,48°25'01.27"N,85°54'20.23"W,48°02'56.65"N,83°22'49.66"W,46°49'23.02"N,86°29'05.03"W,46°27'58.46"N,84°01'56.21"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,13.709115,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44183   (48°26'30.59"N), -86.56866  (86°34'07.18"W), 48.38269   (48°22'57.68"N), -83.28694  (83°17'12.98"W), 46.50371   (46°30'13.36"N), -86.58424   (86°35'03.26"W), 46.44843   (46°26'54.35"N), -83.42066   (83°25'14.38"W),14361,16201,7181,8101,7181,8101,,,179,3.867,2.34,3.079,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44613,-84.9502,48.41702,-85.90562,48.04907,-83.38046,46.82306,-86.48473,46.46624,-84.03228,LE70220272012134EDC00,LE70220272012134EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272012134EDC00
LE70210272012127EDC02,BUMPER,EDC,DAY, 021, 027,2012/05/06,2012:127:16:15:30.1466875,2012:127:16:15:56.9005625, 9, 9,  68.89,  92.57,  59.60,  84.85,  38.54,55.72879791,147.16557312,47°26'46.36"N,83°21'49.21"W,48°25'00.05"N,84°19'11.89"W,48°02'55.21"N,81°47'39.16"W,46°49'23.52"N,84°53'52.66"W,46°27'58.03"N,82°26'41.89"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,3.927304,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41747   (48°25'02.89"N), -85.11845  (85°07'06.42"W), 48.48891   (48°29'20.08"N), -81.72949  (81°43'46.16"W), 46.40332   (46°24'11.95"N), -84.96410   (84°57'50.76"W), 46.46992   (46°28'11.71"N), -81.70206   (81°42'07.42"W),14961,16721,7481,8361,7481,8361,,,151,4.362,2.874,3.282,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44621,-83.36367,48.41668,-84.31997,48.04867,-81.79421,46.8232,-84.89796,46.46612,-82.44497,LE70210272012127EDC02,LE70210272012127EDC02,http://earthexplorer.usgs.gov/download/options/5441/LE70210272012127EDC02
LE70220272012118EDC00,BUMPER,EDC,DAY, 022, 027,2012/04/27,2012:118:16:21:27.8830000,2012:118:16:21:54.6370625, 9, 9,   0.02,   0.00,   0.07,   0.00,   0.01,53.17049789,148.52085876,47°26'46.50"N,84°50'51.36"W,48°25'07.46"N,85°48'13.75"W,48°03'02.16"N,83°16'38.96"W,46°49'32.59"N,86°22'52.75"W,46°28'07.00"N,83°55'39.72"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,13.571407,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44409   (48°26'38.72"N), -86.46317  (86°27'47.41"W), 48.38194   (48°22'54.98"N), -83.18163  (83°10'53.87"W), 46.50870   (46°30'31.32"N), -86.48253   (86°28'57.11"W), 46.45059   (46°27'02.12"N), -83.31895   (83°19'08.22"W),14341,16201,7171,8101,7171,8101,,,204,3.922,2.631,2.909,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44625,-84.8476,48.41874,-85.80382,48.0506,-83.27749,46.82572,-86.38132,46.46861,-83.9277,LE70220272012118EDC00,LE70220272012118EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272012118EDC00
LE70210272012111EDC00,BUMPER,EDC,DAY, 021, 027,2012/04/20,2012:111:16:15:04.6349375,2012:111:16:15:31.3888750, 9, 9,  98.23,  96.73,  97.28,  98.93,  99.98,50.92034531,149.41441345,47°26'46.28"N,83°14'38.80"W,48°25'01.02"N,84°11'59.10"W,48°02'55.46"N,81°40'24.71"W,46°49'24.64"N,84°46'44.44"W,46°27'58.46"N,82°19'31.80"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,1.137818,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41637   (48°24'58.93"N), -84.99669  (84°59'48.08"W), 48.48422   (48°29'03.19"N), -81.60762  (81°36'27.43"W), 46.40462   (46°24'16.63"N), -84.84710   (84°50'49.56"W), 46.46788   (46°28'04.37"N), -81.58481   (81°35'05.32"W),14941,16721,7471,8361,7471,8361,,,12,4.466,3.414,2.879,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44619,-83.24411,48.41695,-84.19975,48.04874,-81.67353,46.82351,-84.77901,46.46624,-82.3255,LE70210272012111EDC00,LE70210272012111EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272012111EDC00
LE70220272012102EDC00,BUMPER,EDC,DAY, 022, 027,2012/04/11,2012:102:16:21:08.4038125,2012:102:16:21:35.1578124, 9, 9,  37.75,  59.03,  65.16,  23.80,   2.99,47.76084137,150.36956787,47°26'45.42"N,84°45'14.04"W,48°25'01.13"N,85°42'37.26"W,48°02'56.44"N,83°11'06.65"W,46°49'25.21"N,86°17'16.51"W,46°27'59.72"N,83°50'07.48"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,5.005425,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44355   (48°26'36.78"N), -86.35771  (86°21'27.76"W), 48.37840   (48°22'42.24"N), -83.07653  (83°04'35.51"W), 46.50279   (46°30'10.04"N), -86.38093   (86°22'51.35"W), 46.44190   (46°26'30.84"N), -83.21798   (83°13'04.73"W),14381,16201,7191,8101,7191,8101,,,70,4.657,3.067,3.504,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44595,-84.7539,48.41698,-85.71035,48.04901,-83.18518,46.82367,-86.28792,46.46659,-83.83541,LE70220272012102EDC00,LE70220272012102EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272012102EDC00
LE70210272012095EDC00,BUMPER,EDC,DAY, 021, 027,2012/04/04,2012:095:16:15:00.4382499,2012:095:16:15:27.1921249, 9, 9,  76.79,  98.36,  97.83,  40.89,  70.06,45.13949585,150.99533081,47°26'45.42"N,83°12'59.22"W,48°25'00.26"N,84°10'19.09"W,48°02'55.46"N,81°38'51.61"W,46°49'23.34"N,84°45'01.12"W,46°27'57.85"N,82°17'55.14"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,.184177,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41777   (48°25'03.97"N), -84.95625  (84°57'22.50"W), 48.48441   (48°29'03.88"N), -81.57109  (81°34'15.92"W), 46.40054   (46°24'01.94"N), -84.80778   (84°48'28.01"W), 46.46265   (46°27'45.54"N), -81.54959   (81°32'58.52"W),14981,16701,7491,8351,7491,8351,,,26,5.813,3.859,4.347,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44595,-83.21645,48.41674,-84.17197,48.04874,-81.64767,46.82315,-84.75031,46.46607,-82.29865,LE70210272012095EDC00,LE70210272012095EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272012095EDC00
LE70220272012086EDC00,BUMPER,EDC,DAY, 022, 027,2012/03/26,2012:086:16:21:13.5931874,2012:086:16:21:40.3471250, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,41.635849,151.6955719,47°26'44.45"N,84°46'06.64"W,48°24'55.94"N,85°43'27.16"W,48°02'51.54"N,83°12'02.20"W,46°49'19.06"N,86°18'09.43"W,46°27'54.18"N,83°51'05.87"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,8.799198,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44098   (48°26'27.53"N), -86.38208  (86°22'55.49"W), 48.37667   (48°22'36.01"N), -83.10503  (83°06'18.11"W), 46.50562   (46°30'20.23"N), -86.40436   (86°24'15.70"W), 46.44549   (46°26'43.76"N), -83.24508   (83°14'42.29"W),14341,16181,7171,8091,7171,8091,,,163,5,3.775,3.279,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44568,-84.76851,48.41554,-85.72421,48.04765,-83.20061,46.82196,-86.30262,46.46505,-83.85163,LE70220272012086EDC00,LE70220272012086EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272012086EDC00
LE70210272012079EDC00,BUMPER,EDC,DAY, 021, 027,2012/03/19,2012:079:16:15:02.7683750,2012:079:16:15:29.5222500, 9, 9,  17.69,  20.77,  16.35,  22.83,  10.83,38.85426712,152.20381165,47°26'43.55"N,83°13'10.63"W,48°25'02.64"N,84°10'24.35"W,48°02'58.13"N,81°39'01.30"W,46°49'24.56"N,84°45'09.72"W,46°27'59.72"N,82°18'08.03"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,4.406727,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.42046   (48°25'13.66"N), -84.95645  (84°57'23.22"W), 48.48709   (48°29'13.52"N), -81.57518  (81°34'30.65"W), 46.40323   (46°24'11.63"N), -84.80797   (84°48'28.69"W), 46.46533   (46°27'55.19"N), -81.55353   (81°33'12.71"W),14981,16681,7491,8341,7491,8341,,,193,4.458,3.16,3.145,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44543,-83.21962,48.4174,-84.17343,48.04948,-81.65036,46.82349,-84.7527,46.46659,-82.30223,LE70210272012079EDC00,LE70210272012079EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272012079EDC00
LE70220272012038EDC00,BUMPER,EDC,DAY, 022, 027,2012/02/07,2012:038:16:21:12.3055000,2012:038:16:21:39.0594375, 9, 9,   2.83,   0.74,   6.52,   2.86,   1.19,23.93625832,155.74327087,47°26'38.47"N,84°45'47.45"W,48°24'49.61"N,85°43'03.72"W,48°02'43.73"N,83°11'40.67"W,46°49'11.46"N,86°17'48.44"W,46°27'45.22"N,83°50'46.97"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-13.582847,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44359   (48°26'36.92"N), -86.36582  (86°21'56.95"W), 48.37881   (48°22'43.72"N), -83.08866  (83°05'19.18"W), 46.50014   (46°30'00.50"N), -86.38878   (86°23'19.61"W), 46.43959   (46°26'22.52"N), -83.22986   (83°13'47.50"W),14401,16181,7201,8091,7201,8091,,,136,5.979,4.62,3.796,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44402,-84.76318,48.41378,-85.7177,48.04548,-83.19463,46.81985,-86.29679,46.46256,-83.84638,LE70220272012038EDC00,LE70220272012038EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272012038EDC00
LE70220272011339EDC00,BUMPER,EDC,DAY, 022, 027,2011/12/05,2011:339:16:20:51.7985625,2011:339:16:21:18.5525000, 9, 9,  91.70,  77.42,  96.79,  94.34,  98.26,18.4897995,163.30363464,47°26'34.69"N,84°45'01.51"W,48°24'59.00"N,85°42'14.33"W,48°02'50.10"N,83°10'47.86"W,46°49'22.33"N,86°16'59.66"W,46°27'53.14"N,83°49'54.48"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-.083176,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44350   (48°26'36.60"N), -86.34959  (86°20'58.52"W), 48.37826   (48°22'41.74"N), -83.07249  (83°04'20.96"W), 46.50005   (46°30'00.18"N), -86.37314   (86°22'23.30"W), 46.43907   (46°26'20.65"N), -83.21427   (83°12'51.37"W),14401,16181,7201,8091,7201,8091,,,43,14.739,14.026,4.529,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44297,-84.75042,48.41639,-85.70398,48.04725,-83.17996,46.82287,-86.28324,46.46476,-83.8318,LE70220272011339EDC00,LE70220272011339EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011339EDC00
LE70220272011323EDC00,BUMPER,EDC,DAY, 022, 027,2011/11/19,2011:323:16:20:43.8344999,2011:323:16:21:10.5883749, 9, 9,  96.38,  99.06,  99.53,  93.49,  93.42,21.56427765,163.90563965,47°26'33.65"N,84°44'49.85"W,48°24'57.10"N,85°42'01.98"W,48°02'48.70"N,83°10'39.83"W,46°49'20.32"N,86°16'45.73"W,46°27'51.41"N,83°49'44.87"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-7.306207,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44353   (48°26'36.71"N), -86.35365  (86°21'13.14"W), 48.37854   (48°22'42.74"N), -83.08057  (83°04'50.05"W), 46.50817   (46°30'29.41"N), -86.37696   (86°22'37.06"W), 46.44741   (46°26'50.68"N), -83.22151   (83°13'17.44"W),14341,16161,7171,8081,7171,8081,,,8,6.656,3.661,5.559,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44268,-84.74718,48.41586,-85.70055,48.04686,-83.17773,46.82231,-86.27937,46.46428,-83.82913,LE70220272011323EDC00,LE70220272011323EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011323EDC00
LE70210272011316EDC00,BUMPER,EDC,DAY, 021, 027,2011/11/12,2011:316:16:14:27.9064999,2011:316:16:14:54.6604374, 9, 9,  85.35,  98.10,  99.49,  77.90,  65.91,23.34671211,163.82366943,47°26'32.42"N,83°11'37.75"W,48°24'49.79"N,84°08'49.63"W,48°02'41.42"N,81°37'29.60"W,46°49'12.11"N,84°43'35.90"W,46°27'43.34"N,82°16'37.13"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,-4.521577,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41605   (48°24'57.78"N), -84.92772  (84°55'39.79"W), 48.48183   (48°28'54.59"N), -81.54670  (81°32'48.12"W), 46.39605   (46°23'45.78"N), -84.78015   (84°46'48.54"W), 46.45736   (46°27'26.50"N), -81.52610   (81°31'33.96"W),15001,16681,7501,8341,7501,8341,,,16,4.231,3.158,2.815,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44234,-83.19382,48.41383,-84.14712,48.04484,-81.62489,46.82003,-84.72664,46.46204,-82.27698,LE70210272011316EDC00,LE70210272011316EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272011316EDC00
LE70220272011307EDC00,BUMPER,EDC,DAY, 022, 027,2011/11/03,2011:307:16:20:30.0769375,2011:307:16:20:56.8308750, 9, 9,   0.07,   0.04,   0.00,   0.00,   0.23,25.94333839,163.37817383,47°26'33.54"N,84°43'17.98"W,48°24'57.71"N,85°40'28.99"W,48°02'49.06"N,83°09'08.06"W,46°49'21.14"N,86°15'17.32"W,46°27'52.06"N,83°48'17.75"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,9.422534,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44332   (48°26'35.95"N), -86.31714  (86°19'01.70"W), 48.37729   (48°22'38.24"N), -83.04420  (83°02'39.12"W), 46.49988   (46°29'59.57"N), -86.34186   (86°20'30.70"W), 46.43816   (46°26'17.38"N), -83.18699   (83°11'13.16"W),14401,16161,7201,8081,7201,8081,,,168,6.847,5.602,3.937,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44265,-84.72166,48.41603,-85.67472,48.04696,-83.15224,46.82254,-86.25481,46.46446,-83.80493,LE70220272011307EDC00,LE70220272011307EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011307EDC00
LE70220272011291EDC00,BUMPER,EDC,DAY, 022, 027,2011/10/18,2011:291:16:20:24.8104374,2011:291:16:20:51.5643750, 9, 9,  37.72,  49.05,  57.38,   8.23,  36.21,31.17676926,161.61576843,47°26'31.85"N,84°44'13.16"W,48°24'50.36"N,85°41'25.40"W,48°02'41.28"N,83°10'02.89"W,46°49'12.97"N,86°16'12.76"W,46°27'43.52"N,83°49'11.78"W,N,H,H,H,H,H,L,H,H,L,Y,NOMINAL,DE,.835282,HH,HH,HH,HH,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44071   (48°26'26.56"N), -86.33340  (86°20'00.24"W), 48.37515   (48°22'30.54"N), -83.06057  (83°03'38.05"W), 46.49997   (46°29'59.89"N), -86.35750   (86°21'27.00"W), 46.43868   (46°26'19.25"N), -83.20258   (83°12'09.29"W),14381,16161,7191,8081,7191,8081,,,20,7.899,6.599,4.342,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44218,-84.73699,48.41399,-85.69039,48.0448,-83.16747,46.82027,-86.27021,46.46209,-83.81994,LE70220272011291EDC00,LE70220272011291EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011291EDC00
LE70210272011268EDC00,BUMPER,EDC,DAY, 021, 027,2011/09/25,2011:268:16:14:10.1284375,2011:268:16:14:36.8823750, 9, 9,   7.03,  14.98,  12.67,   0.46,   0.00,39.28499603,157.06053162,47°26'51.32"N,83°13'57.04"W,48°25'11.50"N,84°11'18.53"W,48°03'06.66"N,81°39'47.27"W,46°49'34.14"N,84°45'56.77"W,46°28'09.08"N,82°18'47.34"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,-11.829309,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.41977   (48°25'11.17"N), -84.97668  (84°58'36.05"W), 48.48698   (48°29'13.13"N), -81.59547  (81°35'43.69"W), 46.41066   (46°24'38.38"N), -84.82800   (84°49'40.80"W), 46.47333   (46°28'23.99"N), -81.57315   (81°34'23.34"W),14921,16681,7461,8341,7461,8341,,,203,3.581,2.275,2.765,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44759,-83.23251,48.41986,-84.18848,48.05185,-81.66313,46.82615,-84.76577,46.46919,-82.31315,LE70210272011268EDC00,LE70210272011268EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272011268EDC00
LE70220272011259EDC00,BUMPER,EDC,DAY, 022, 027,2011/09/16,2011:259:16:20:22.4886250,2011:259:16:20:49.2425625, 9, 9,  40.62,  29.91,  49.87,   6.38,  76.33,42.42990112,154.79989624,47°26'51.90"N,84°46'09.95"W,48°25'05.12"N,85°43'32.99"W,48°03'00.22"N,83°11'59.71"W,46°49'27.16"N,86°18'14.80"W,46°28'01.63"N,83°51'03.42"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,13.683851,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44368   (48°26'37.25"N), -86.38204  (86°22'55.34"W), 48.37936   (48°22'45.70"N), -83.10482  (83°06'17.35"W), 46.50832   (46°30'29.95"N), -86.40433   (86°24'15.59"W), 46.44818   (46°26'53.45"N), -83.24489   (83°14'41.60"W),14341,16181,7171,8091,7171,8091,,,16,5.007,2.945,4.049,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44775,-84.76943,48.41809,-85.72583,48.05006,-83.19992,46.82421,-86.30411,46.46712,-83.85095,LE70220272011259EDC00,LE70220272011259EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011259EDC00
LE70210272011252EDC00,BUMPER,EDC,DAY, 021, 027,2011/09/09,2011:252:16:14:13.5385625,2011:252:16:14:40.2925000, 9, 9,   0.00,   0.00,   0.00,   0.00,   0.00,44.80517197,152.90156555,47°26'50.17"N,83°13'12.65"W,48°25'12.29"N,84°10'32.45"W,48°03'07.09"N,81°38'59.06"W,46°49'34.61"N,84°45'11.56"W,46°28'08.69"N,82°18'00.11"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,7.701673,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.42046   (48°25'13.66"N), -84.95645  (84°57'23.22"W), 48.48711   (48°29'13.60"N), -81.57112  (81°34'16.03"W), 46.40323   (46°24'11.63"N), -84.80797   (84°48'28.69"W), 46.46535   (46°27'55.26"N), -81.54962   (81°32'58.63"W),14981,16701,7491,8351,7491,8351,,,240,3.124,1.987,2.41,UTM,WGS84,WGS84,17,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44727,-83.22018,48.42008,-84.17568,48.05197,-81.64974,46.82628,-84.75321,46.46908,-82.30003,LE70210272011252EDC00,LE70210272011252EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70210272011252EDC00
LE70220272011243EDC00,BUMPER,EDC,DAY, 022, 027,2011/08/31,2011:243:16:20:27.7101875,2011:243:16:20:54.4641250, 9, 9,  89.60,  88.47,  72.15,  98.97,  98.79,47.71775818,150.3523407,47°26'50.89"N,84°45'58.00"W,48°25'06.71"N,85°43'20.53"W,48°03'01.40"N,83°11'47.94"W,46°49'30.47"N,86°18'00.94"W,46°28'04.73"N,83°50'49.99"W,N,H,H,H,L,H,L,H,H,L,Y,NOMINAL,DE,2.515917,HH,HH,HH,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44629   (48°26'46.64"N), -86.36578  (86°21'56.81"W), 48.38151   (48°22'53.44"N), -83.08845  (83°05'18.42"W), 46.50284   (46°30'10.22"N), -86.38875   (86°23'19.50"W), 46.44228   (46°26'32.21"N), -83.22967   (83°13'46.81"W),14401,16181,7201,8091,7201,8091,,,14,3.997,2.488,3.128,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44747,-84.76611,48.41853,-85.72237,48.05039,-83.19665,46.82513,-86.30026,46.46798,-83.84722,LE70220272011243EDC00,LE70220272011243EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011243EDC00
LE70220272011227EDC00,BUMPER,EDC,DAY, 022, 027,2011/08/15,2011:227:16:20:30.3827500,2011:227:16:20:57.1366875, 9, 9,   0.01,   0.03,   0.01,   0.00,   0.00,52.39803696,145.82958984,47°26'48.34"N,84°45'24.48"W,48°24'58.90"N,85°42'46.40"W,48°02'54.17"N,83°11'18.31"W,46°49'20.46"N,86°17'29.62"W,46°27'55.04"N,83°50'23.10"W,N,L,L,L,L,H,L,H,H,L,Y,NOMINAL,DE,-3.317631,LL,LL,LL,LL,HH,LL,HH,HH,LL,ETM+  L1T,GLS2000,GEOTIFF,DEFINITIVE, 48.44355   (48°26'36.78"N), -86.35771  (86°21'27.76"W), 48.37854   (48°22'42.74"N), -83.08057  (83°04'50.05"W), 46.50009   (46°30'00.32"N), -86.38096   (86°22'51.46"W), 46.43933   (46°26'21.59"N), -83.22206   (83°13'19.42"W),14401,16181,7201,8091,7201,8091,,,207,4.386,2.639,3.503,UTM,WGS84,WGS84,16,,,,,15,30,30,NORTH_UP,CUBIC_CONVOLUTION,2,47.44676,-84.7568,48.41636,-85.71289,48.04838,-83.18842,46.82235,-86.29156,46.46529,-83.83975,LE70220272011227EDC00,LE70220272011227EDC00,http://earthexplorer.usgs.gov/download/options/5441/LE70220272011227EDC00
